gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
896925927,ecca1a3e-3b7d-4229-8a7a-d106997e6d03,http://arctos.database.museum/guid/UAMObs:Ento:66979?seid=803663,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus polaris,,US,No specific locality recorded.,Alaska,PRESENT,,d9699a79-4736-45c2-925c-f4033ac67d52,,,,,,,,,1800-01-01/1979-12-31,,,,1340367,1340367,HUMAN_OBSERVATION,UAM,Ento,UAMObs:Ento:66979,,unknown,1979-01-01T00:00:00,CC_BY_4_0,,Collector(s): unknown,,,2025-02-06T18:37:40.271Z,,TYPE_STATUS_INVALID
896925820,ecca1a3e-3b7d-4229-8a7a-d106997e6d03,http://arctos.database.museum/guid/UAMObs:Ento:66163?seid=1840743,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus polaris,,US,No specific locality recorded.,Alaska,PRESENT,,d9699a79-4736-45c2-925c-f4033ac67d52,,,,,,,,,1800-01-01/2008-12-31,,,,1340367,1340367,HUMAN_OBSERVATION,UAM,Ento,UAMObs:Ento:66163,,unknown,2008-01-01T00:00:00,CC_BY_4_0,,Collector(s): unknown,,,2025-02-06T18:37:42.600Z,,TYPE_STATUS_INVALID
896919861,ecca1a3e-3b7d-4229-8a7a-d106997e6d03,http://arctos.database.museum/guid/UAMObs:Ento:33903?seid=458113,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus polaris,,US,Kikitaliorak [lake],Alaska,PRESENT,,d9699a79-4736-45c2-925c-f4033ac67d52,68.12131,-156.24227,1100.0,,665.0,35.0,,,1973-07-13,13,7,1973,1340367,1340367,HUMAN_OBSERVATION,UAM,Ento,UAMObs:Ento:33903,,R. Thorp,1973-01-01T00:00:00,CC_BY_4_0,,Collector(s): Edward H. Holsten,,,2025-02-06T18:37:39.590Z,,CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID
896919860,ecca1a3e-3b7d-4229-8a7a-d106997e6d03,http://arctos.database.museum/guid/UAMObs:Ento:33902?seid=251607,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus polaris,,US,"Fairbanks, College",Alaska,PRESENT,,d9699a79-4736-45c2-925c-f4033ac67d52,64.85695,-147.80276,2895.0,,180.0,50.0,,,1968-05-12,12,5,1968,1340367,1340367,HUMAN_OBSERVATION,UAM,Ento,UAMObs:Ento:33902,,unknown,1968-01-01T00:00:00,CC_BY_4_0,,,,,2025-02-06T18:37:42.019Z,,CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID
896919859,ecca1a3e-3b7d-4229-8a7a-d106997e6d03,http://arctos.database.museum/guid/UAMObs:Ento:33901?seid=293792,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus polaris,,US,Anuk Lk. [=Auke Lake?],Alaska,PRESENT,,d9699a79-4736-45c2-925c-f4033ac67d52,58.38595,-134.63426,1050.0,,100.0,0.0,,,1973-08-13,13,8,1973,1340367,1340367,HUMAN_OBSERVATION,UAM,Ento,UAMObs:Ento:33901,,R. Thorp,1973-01-01T00:00:00,CC_BY_4_0,,Collector(s): Edward H. Holsten,,,2025-02-06T18:37:41.009Z,,CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID
896914153,ecca1a3e-3b7d-4229-8a7a-d106997e6d03,http://arctos.database.museum/guid/UAMObs:Ento:228577?seid=1850977,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus polaris,,US,St. Matthew Island,Alaska,PRESENT,,d9699a79-4736-45c2-925c-f4033ac67d52,60.4076623,-172.7223276,29839.0,,,,,,1954-08-02/1954-09-06,,,1954,1340367,1340367,HUMAN_OBSERVATION,UAM,Ento,UAMObs:Ento:228577,,unknown,2013-10-17T00:00:00,CC_BY_4_0,,Collector(s): Robert L. Rausch,,,2025-02-06T18:37:42.022Z,,COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID
896912789,ecca1a3e-3b7d-4229-8a7a-d106997e6d03,http://arctos.database.museum/guid/UAMObs:Ento:181145?seid=868072,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus polaris,,US,No specific locality recorded.,Alaska,PRESENT,,d9699a79-4736-45c2-925c-f4033ac67d52,,,,,,,,,1800-01-01/2011-12-31,,,,1340367,1340367,HUMAN_OBSERVATION,UAM,Ento,UAMObs:Ento:181145,,unknown,2011-01-01T00:00:00,CC_BY_4_0,,Collector(s): unknown,,,2025-02-06T18:37:39.980Z,,TYPE_STATUS_INVALID
896911457,ecca1a3e-3b7d-4229-8a7a-d106997e6d03,http://arctos.database.museum/guid/UAMObs:Ento:156755?seid=1345834,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus polaris,,US,No specific locality recorded.,Alaska,PRESENT,,d9699a79-4736-45c2-925c-f4033ac67d52,,,,,,,,,1800-01-01/1963-12-31,,,,1340367,1340367,HUMAN_OBSERVATION,UAM,Ento,UAMObs:Ento:156755,,unknown,1963-01-01T00:00:00,CC_BY_4_0,,Collector(s): unknown,,,2025-02-06T18:37:42.448Z,,TYPE_STATUS_INVALID
894585036,aae308f4-9f9c-4cdd-b4ef-c026f48be551,d059ea40-9ff4-49fb-b995-56c98270e12a,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus (Alpinobombus) polaris,,SE,Kartetjakko,Lappland,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,68.11667,18.26667,301.0,,,,,,1973-08-04,4,8,1973,1340367,1340367,PRESERVED_SPECIMEN,KU,SEMC,1256383,,,,CC_BY_4_0,,"Svensson, B",,,2025-03-07T22:35:58.781Z,StillImage,CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES
894585015,aae308f4-9f9c-4cdd-b4ef-c026f48be551,3c230a5d-f8d6-4c76-9de5-51bc7c7d2af6,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus polaris,,SPECIES,"Bombus polaris Curtis, 1835",Bombus (Alpinobombus) polaris,,SE,Abisko,Lappland,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,68.32297,18.68225,8277.0,,,,,,1974-06,,6,1974,1340367,1340367,PRESERVED_SPECIMEN,KU,SEMC,1256382,,,,CC_BY_4_0,,"Svensson, B",,,2025-03-07T22:35:35.487Z,StillImage,CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES
